language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,regularMarketPrice,exchangeTimezoneShortName,currency,market,exchangeTimezoneName,esgPopulated,messageBoardId,gmtOffSetMilliseconds,marketState,regularMarketChangePercent,shortName,longName,exchange,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,tradeable,cryptoTradeable,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPreviousClose,fullExchangeName,price,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,bid,ask,bidSize,askSize,financialCurrency,regularMarketOpen,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,priceToBook,displayName,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,marketCap,forwardPE,averageAnalystRating,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsForward,ipoExpectedDate,ytdReturn,trailingThreeMonthReturns,trailingThreeMonthNavReturns,prevName,nameChangeDate,prevExchange,exchangeTransferDate,newListingDate,prevTicker,tickerChangeDate,underlyingSymbol,openInterest,tickerSymbol
en-US,US,MUTUALFUND,Fund,Delayed Quote,False,NONE,6.59,EDT,USD,us_market,America/New_York,False,finmb_618418991,-14400000,REGULAR,-0.6033182,A3 Alternative Credit Fund,Alpha Alternative Assets Fund,NAS,0.0,0.0,-1.3599997,-0.17106915,7.95 - 10.25,-3.6599998,-0.35707316,7.95,10.25,8.9932,-2.4032001,-0.26722413,9.5735,-2.9834995,-0.31164148,15,0,False,False,1569936600000.0,2,-0.04,1679573101,6.63,Nasdaq,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAACX
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,10.48,EDT,USD,us_market,America/New_York,False,finmb_701465676,-14400000,REGULAR,0.47937906,Ares Acquisition Corporation,Ares Acquisition Corporation,NYQ,2745.0,508.0,0.67999935,0.06938769,9.8 - 10.5807,-0.10070038,-0.009517364,9.8,10.5807,10.343084,0.1369152,0.013237367,10.061122,0.4188776,0.04163329,15,0,False,False,1612276200000.0,2,0.049999237,1679515162,10.43,NYSE,10.48,10.48,10.48 - 10.48,10.48,100.0,10.2,16.75,9.0,10.0,USD,10.48,0.0,104.799995,0.0,0.1,-0.488,-21.475409,Ares,,,,,,,,,,,,,,,,,,,,,,,,,AAC-UN
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,1.86,EDT,USD,us_market,America/New_York,False,finmb_39920439,-14400000,REGULAR,-2.105261,ATA Creativity Global,ATA Creativity Global,NGM,36788.0,26250.0,0.98,1.1136364,0.88 - 2.64,-0.7800001,-0.29545456,0.88,2.64,1.7412,0.118800044,0.06822883,1.68905,0.17095006,0.10121077,15,0,False,False,1201617000000.0,4,-0.03999996,1679578202,1.9,NasdaqGM,1.86,1.86,1.86 - 1.86,1.86,170.0,1.8,2.24,8.0,13.0,CNY,1.93,0.0,,0.0,-0.24,4.453,0.41769594,,-0.89,-2.0898876,31376900.0,58361036.0,-1.5245901,1.5 - Strong Buy,1535068800.0,1669856400.0,1679914740.0,1680264000.0,-1.22,,,,,,,,,,,,,,AACG
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,10.09,EDT,USD,us_market,America/New_York,False,finmb_706895895,-14400000,REGULAR,-0.099012166,Armada Acquisition Corp. I,Armada Acquisition Corp. I,NGM,52910.0,790.0,1.5299997,0.17873828,8.56 - 12.2,-2.1099997,-0.17295079,8.56,12.2,10.1131,-0.0230999,-0.0022841562,9.983795,0.10620499,0.010637737,15,0,False,False,1636554600000.0,2,-0.010000229,1679071960,10.1,NasdaqGM,10.09,10.1,10.1 - 10.1,10.1,52.0,10.04,0.0,11.0,30.0,USD,10.06,0.0,,0.0,-0.25,-0.241,-41.86722,,,,20709500.0,208958864.0,,,,,,,,2021-11-10,,,,,,,,,,,,,AACI
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,10.0,EDT,USD,us_market,America/New_York,False,finmb_706895895,-14400000,REGULAR,0.0,Armada Acquisition Corp. I,Armada Acquisition Corp. I,NGM,86.0,10.0,0.28999996,0.029866114,9.71 - 10.825,-0.8249998,-0.07621246,9.71,10.825,10.2626,-0.26259995,-0.025588052,10.043975,-0.043974876,-0.0043782345,15,0,False,False,1628861400000.0,2,0.0,1678823989,10.0,NasdaqGM,10.0,10.0,10.0 - 10.0,10.0,100.0,0.0,2147.48,8.0,10.0,USD,10.0,0.0,,0.0,-0.203,-0.241,-41.49378,,,,,,,,,,,,,2021-08-13,,,,,,,,,,,,,AACIU
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,0.11,EDT,USD,us_market,America/New_York,False,finmb_706895895,-14400000,REGULAR,9.999998,Armada Acquisition Corp. I Warrant,Armada Acquisition Corp. I,NGM,,,0.0,0.0,0.11 - 0.11,0.0,0.0,0.11,0.11,,,,,,,15,0,False,False,,4,0.009999998,1679578203,0.1,NasdaqGM,0.11,0.11,0.11 - 0.11,0.11,100.0,0.06,0.26,10.0,9.0,USD,0.1095,,,,,0.005,22.0,,,,,,,,,,,,,2021-11-10,,,,,,,,,,,,,AACIW
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,7.23,EDT,USD,us_market,America/New_York,False,finmb_430225247,-14400000,REGULAR,0.27739224,"Aadi Bioscience, Inc.","Aadi Bioscience, Inc.",NCM,123683.0,194290.0,0.23000002,0.032857146,7.0 - 18.54,-11.310001,-0.6100324,7.0,18.54,11.0026,-3.7725997,-0.34288257,12.584925,-5.3549247,-0.4255031,15,0,False,False,1518791400000.0,2,0.01999998,1679578205,7.21,NasdaqCM,7.23,7.25,7.22 - 7.25,7.22,1828.0,0.0,0.0,8.0,12.0,USD,7.72,0.0,1.5350318,0.0,4.71,6.932,1.042989,Aadi Bioscience,-2.94,-2.4591837,24395100.0,176376576.0,-2.8577075,1.6 - Buy,,1680006600.0,1680006600.0,1680006600.0,-2.53,,,,,,,,,,,,,,AADI
en-US,US,ETF,ETF,Nasdaq Real Time Price,True,HIGH,46.25,EDT,USD,us_market,America/New_York,False,finmb_109691817,-14400000,REGULAR,-0.10561936,AdvisorShares Dorsey Wright,AdvisorShares Dorsey Wright ADR ETF,NGM,4213.0,1660.0,2.9000015,0.066897385,43.35 - 61.15,-14.900002,-0.24366315,43.35,61.15,48.7692,-2.5191994,-0.051655542,48.654,-2.4039993,-0.04941011,15,0,False,False,1279719000000.0,2,-0.048900604,1679578202,46.2989,NasdaqGM,46.25,46.25,46.25 - 46.25,46.25,197.0,42.17,51.13,9.0,18.0,,46.54,,11.32555,,4.083687,,,,,,,,,,,,,,,2021-06-03,-3.05925,-3.36916,-3.36916,,,,,,,,,,AADR
en-US,US,MUTUALFUND,Fund,Delayed Quote,False,NONE,19.58,EDT,USD,us_market,America/New_York,False,finmb_585522804,-14400000,REGULAR,0.0,Axonic Alternative Income Fund,Axonic Alternative Income Fund,NAS,0.0,0.0,-0.8600006,-0.042074393,20.44 - 22.6,-3.0200005,-0.13362834,20.44,22.6,22.254705,-2.6747055,-0.12018607,22.261555,-2.6815548,-0.12045676,15,0,False,False,1552055400000.0,2,0.0,1679573101,19.58,Nasdaq,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAIDX
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,13.945,EDT,USD,us_market,America/New_York,False,finmb_168569,-14400000,REGULAR,0.90448624,"American Airlines Group, Inc.",American Airlines Group Inc.,NMS,25311064.0,27823980.0,2.295,0.19699572,11.65 - 21.42,-7.4750004,-0.34897295,11.65,21.42,15.971,-2.026,-0.12685493,14.31945,-0.37445068,-0.026149794,15,0,False,False,1127827800000.0,2,0.125,1679578273,13.82,NasdaqGS,13.945,14.0,13.9 - 14.0,13.9,757628.0,13.98,14.05,215.0,10.0,USD,14.36,0.0,69.725,0.0,0.2,-8.913,-1.5645685,American Airlines,2.13,6.546948,651430976.0,9084205056.0,4.8588853,2.9 - Hold,1582070400.0,1674739800.0,1681907400.0,1682339400.0,2.87,,,,,,,,,,,,,,AAL
en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,2.41,EDT,USD,us_market,America/New_York,False,finmb_252124,-14400000,REGULAR,-2.822578,Atlantic American Corporation,Atlantic American Corporation,NGM,4588.0,5940.0,0.31000018,0.14761914,2.1 - 3.79,-1.3799999,-0.36411607,2.1,3.79,2.4706,-0.060599804,-0.024528377,2.7534,-0.3434,-0.124718525,15,0,False,False,322151400000.0,4,-0.06999993,1679515200,2.48,NasdaqGM,2.41,2.48,2.36 - 2.48,2.36,5689.0,1.08,3.15,12.0,10.0,USD,2.48,0.02,17.214287,0.008064516,0.14,4.805,0.5015609,Atlantic American,,,20367200.0,49084952.0,,,1651017600.0,1667936254.0,1679569140.0,1679918400.0,,,,,,,,,,,,,,,AAME
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,2.36,EDT,USD,us_market,America/New_York,False,finmb_1043391,-14400000,REGULAR,-0.42194054,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc.",NGM,169557.0,143540.0,0.8799999,0.5945945,1.48 - 4.0,-1.6400001,-0.41000003,1.48,4.0,2.5564,-0.19640017,-0.07682685,2.33455,0.025449991,0.010901455,15,0,False,False,1380202200000.0,4,-0.00999999,1679578203,2.37,NasdaqGM,2.36,2.36,2.36 - 2.36,2.36,1413.0,1.85,2.48,11.0,8.0,USD,2.45,0.0,,0.0,-2.27,6.452,0.36577803,Applied Optoelectronics,-0.47,-5.0212765,29052800.0,70300384.0,-118.0,2.7 - Hold,,1677187800.0,1683111540.0,1683547200.0,-0.02,,,,,,,,,,,,,,AAOI
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,91.65,EDT,USD,us_market,America/New_York,False,finmb_320500,-14400000,REGULAR,0.27352297,"AAON, Inc.","AAON, Inc.",NMS,257196.0,383280.0,44.15,0.9294737,47.5 - 94.45,-2.7999954,-0.029645268,47.5,94.45,81.8106,9.839401,0.12027049,67.5952,24.054802,0.35586554,15,0,False,False,724516200000.0,2,0.25,1679578203,91.4,NasdaqGS,91.65,91.65,91.65 - 91.65,91.65,1839.0,82.0,142.62,8.0,8.0,USD,91.44,0.43,48.492065,0.004704595,1.89,10.495,8.73273,AAON,2.61,35.114944,53481400.0,4901570560.0,29.187897,2.2 - Buy,1680220800.0,1677536100.0,1683111540.0,1683547200.0,3.14,,,,,,,,,,,,,,AAON
en-US,US,ETF,ETF,Nasdaq Real Time Price,True,HIGH,21.31,EDT,USD,us_market,America/New_York,False,finmb_1780713212,-14400000,REGULAR,0.43643364,GraniteShares 1.75x Long AAPL D,GraniteShares 1.75x Long AAPL Daily ETF,NGM,6193.0,4730.0,7.0599995,0.49543855,14.25 - 27.92,-6.6100006,-0.23674788,14.25,27.92,19.02236,2.2876396,0.12026056,19.792316,1.517683,0.076680414,15,0,False,False,1660138200000.0,2,0.09259987,1679578201,21.2174,NasdaqGM,21.31,21.32,21.31 - 21.32,21.31,1004.0,21.38,21.49,10.0,10.0,,21.456,0.0,,0.0,,,,,,,,,,,,,,,,,37.95449,32.77472,32.77472,,,,,,,,,,AAPB
en-US,US,ETF,ETF,Nasdaq Real Time Price,True,HIGH,24.5,EDT,USD,us_market,America/New_York,False,finmb_1791146308,-14400000,REGULAR,-0.32546756,Direxion Daily AAPL Bear 1X Sha,Direxion Daily AAPL Bear 1X Shares,NGM,189984.0,166110.0,1.1000004,0.047008563,23.4 - 31.59,-7.09,-0.22443812,23.4,31.59,26.59564,-2.0956402,-0.07879638,27.111536,-2.611536,-0.096325636,15,0,False,False,1660138200000.0,2,-0.07999992,1679578203,24.58,NasdaqGM,24.5,24.51,24.5 - 24.51,24.5,5420.0,24.39,24.42,12.0,40.0,,24.43,0.0,,0.0,,,,,,,,,,,,,,,,,-18.08277,-16.64901,-16.64901,,,,,,,,,,AAPD
